,Species,Gene,Chromosome,HREloc,GeneDirection,GeneStart,GeneStop,Distance,Proxy,HRE_direct,HRE,Info
3742,Pan_paniscus,CYYR1,21,13027217,-,13012200,12905184,15017,Up,hklkr,hklk,ID=gene-CYYR1;Dbxref=GeneID:100992188;Name=CYYR1;gbkey=Gene;gene=CYYR1;gene_biotype=protein_coding
3713,Pan_paniscus,USP16,21,15495455,+,15455805,15487853,7602,Down,ccnd1r,ccnd1,ID=gene-USP16;Dbxref=GeneID:100981844;Name=USP16;gbkey=Gene;gene=USP16;gene_biotype=protein_coding
3722,Pan_paniscus,CLIC6,21,21095060,+,21041763,21089958,5102,Down,slp2r,slp2,ID=gene-CLIC6;Dbxref=GeneID:100987955;Name=CLIC6;gbkey=Gene;gene=CLIC6;gene_biotype=protein_coding
3702,Pan_paniscus,CLDN14,21,22823994,-,22946594,22830770,6776,Down,hklkr,hklk,ID=gene-CLDN14;Dbxref=GeneID:100980342;Name=CLDN14;gbkey=Gene;gene=CLDN14;gene_biotype=protein_coding
3752,Pan_paniscus,BRWD1,21,25688719,-,25666943,25535009,21776,Up,hk2f,hk2,ID=gene-BRWD1;Dbxref=GeneID:100983921;Name=BRWD1;gbkey=Gene;gene=BRWD1;gene_biotype=protein_coding
3692,Pan_paniscus,TRAPPC10,21,30262574,+,30269085,30363396,6511,Up,slp3r,slp3,ID=gene-TRAPPC10;Dbxref=GeneID:100979870;Name=TRAPPC10;gbkey=Gene;gene=TRAPPC10;gene_biotype=protein_coding
3762,Pan_paniscus,ITGB2,21,31224714,-,31216033,31181228,8681,Up,psa1f,psa1,ID=gene-ITGB2;Dbxref=GeneID:100985940;Name=ITGB2;gbkey=Gene;gene=ITGB2;gene_biotype=protein_coding
3772,Pan_paniscus,SLC2A11,22,4590646,+,4609422,4638903,18776,Up,mvdpf,mvdp,ID=gene-SLC2A11;Dbxref=GeneID:100994644;Name=SLC2A11;gbkey=Gene;gene=SLC2A11;gene_biotype=protein_coding
3822,Pan_paniscus,SLC35E4,22,11722523,+,11660947,11720447,2076,Down,hklkf,hklk,ID=gene-SLC35E4;Dbxref=GeneID:100980940;Name=SLC35E4;gbkey=Gene;gene=SLC35E4;gene_biotype=protein_coding
3802,Pan_paniscus,PATZ1,22,12346046,-,12370273,12349691,3645,Down,slp2f,slp2,ID=gene-PATZ1;Dbxref=GeneID:100991512;Name=PATZ1;gbkey=Gene;gene=PATZ1;gene_biotype=protein_coding
3813,Pan_paniscus,PISD,22,12631873,-,12682733,12638418,6545,Down,mvdpr,mvdp,ID=gene-PISD;Dbxref=GeneID:100994857;Name=PISD;gbkey=Gene;gene=PISD;gene_biotype=protein_coding
3782,Pan_paniscus,FBXO7,22,13469144,+,13481255,13505301,12111,Up,mvdpf,mvdp,ID=gene-FBXO7;Dbxref=GeneID:100972731;Name=FBXO7;gbkey=Gene;gene=FBXO7;gene_biotype=protein_coding
3792,Pan_paniscus,HMGXB4,22,16261302,+,16264268,16302597,2966,Up,asrer,asre,ID=gene-HMGXB4;Dbxref=GeneID:100976481;Name=HMGXB4;gbkey=Gene;gene=HMGXB4;gene_biotype=protein_coding
3832,Pan_paniscus,GCAT,22,18735700,+,18722886,18731963,3737,Down,slp2r,slp2,ID=gene-GCAT;Dbxref=GeneID:100970816;Name=GCAT;gbkey=Gene;gene=GCAT;gene_biotype=protein_coding
3882,Pan_paniscus,ENTHD1,22,20801774,-,20799332,20648460,2442,Up,care,care,ID=gene-ENTHD1;Dbxref=GeneID:100989040;Name=ENTHD1;gbkey=Gene;gene=ENTHD1;gene_biotype=protein_coding
3842,Pan_paniscus,SGSM3,22,21324309,+,21275464,21314652,9657,Down,hk2f,hk2,ID=gene-SGSM3;Dbxref=GeneID:100976887;Name=SGSM3;gbkey=Gene;gene=SGSM3;gene_biotype=protein_coding
3892,Pan_paniscus,CHADL,22,22145304,-,22138122,22106953,7182,Up,pem1r,pem1,ID=gene-CHADL;Dbxref=GeneID:103785417;Name=CHADL;gbkey=Gene;gene=CHADL;gene_biotype=protein_coding
3852,Pan_paniscus,ZC3H7B,22,22260144,+,22198403,22256455,3689,Down,asrer,asre,ID=gene-ZC3H7B;Dbxref=GeneID:100984536;Name=ZC3H7B;gbkey=Gene;gene=ZC3H7B;gene_biotype=protein_coding
3902,Pan_paniscus,ALG12,22,30155836,-,30139359,30110873,16477,Up,aare,aare,ID=gene-ALG12;Dbxref=GeneID:100977641;Name=ALG12;gbkey=Gene;gene=ALG12;gene_biotype=protein_coding
3913,Pan_paniscus,ALG12,22,30158228,-,30139359,30110873,18869,Up,asref,asre,ID=gene-ALG12;Dbxref=GeneID:100977641;Name=ALG12;gbkey=Gene;gene=ALG12;gene_biotype=protein_coding
3862,Pan_paniscus,CRELD2,22,30155836,+,30139539,30152462,3374,Down,aare,aare,ID=gene-CRELD2;Dbxref=GeneID:100977306;Name=CRELD2;gbkey=Gene;gene=CRELD2;gene_biotype=protein_coding
3872,Pan_paniscus,CRELD2,22,30158228,+,30139539,30152462,5766,Down,asref,asre,ID=gene-CRELD2;Dbxref=GeneID:100977306;Name=CRELD2;gbkey=Gene;gene=CRELD2;gene_biotype=protein_coding
3932,Pan_paniscus,IL17RE,3,9838107,+,9846319,9860735,8212,Up,slp2r,slp2,ID=gene-IL17RE;Dbxref=GeneID:100988743;Name=IL17RE;gbkey=Gene;gene=IL17RE;gene_biotype=protein_coding
3922,Pan_paniscus,IL17RC,3,9838107,+,9861423,9878154,23316,Up,slp2r,slp2,ID=gene-IL17RC;Dbxref=GeneID:100985363;Name=IL17RC;gbkey=Gene;gene=IL17RC;gene_biotype=protein_coding
4162,Pan_paniscus,ATP2B2,3,10256735,-,10643346,10260556,3821,Down,care,care,ID=gene-ATP2B2;Dbxref=GeneID:100982359;Name=ATP2B2;gbkey=Gene;gene=ATP2B2;gene_biotype=protein_coding
4302,Pan_paniscus,ATP2B2,3,10664475,-,10643346,10260556,21129,Up,ccnd1r,ccnd1,ID=gene-ATP2B2;Dbxref=GeneID:100982359;Name=ATP2B2;gbkey=Gene;gene=ATP2B2;gene_biotype=protein_coding
4242,Pan_paniscus,CAND2,3,12767261,+,12722259,12757983,9278,Down,psa1f,psa1,ID=gene-CAND2;Dbxref=GeneID:100970507;Name=CAND2;gbkey=Gene;gene=CAND2;gene_biotype=protein_coding
4313,Pan_paniscus,XPC,3,14105554,-,14097023,14063499,8531,Up,mvdpr,mvdp,ID=gene-XPC;Dbxref=GeneID:100993305;Name=XPC;gbkey=Gene;gene=XPC;gene_biotype=protein_coding
3942,Pan_paniscus,CAPN7,3,15118299,+,15131774,15177836,13475,Up,psa3r,psa3,ID=gene-CAPN7;Dbxref=GeneID:100987839;Name=CAPN7;gbkey=Gene;gene=CAPN7;gene_biotype=protein_coding
3952,Pan_paniscus,OXNAD1,3,16174187,+,16190264,16277168,16077,Up,slp2r,slp2,ID=gene-OXNAD1;Dbxref=GeneID:100979197;Name=OXNAD1;gbkey=Gene;gene=OXNAD1;gene_biotype=protein_coding
4322,Pan_paniscus,OSBPL10,3,31906456,-,31902486,31580852,3970,Up,pem2r,pem2,ID=gene-OSBPL10;Dbxref=GeneID:100983708;Name=OSBPL10;gbkey=Gene;gene=OSBPL10;gene_biotype=protein_coding
4252,Pan_paniscus,VILL,3,37907551,+,37883869,37906054,1497,Down,pem2f,pem2,ID=gene-VILL;Dbxref=GeneID:100968889;Name=VILL;gbkey=Gene;gene=VILL;gene_biotype=protein_coding
4262,Pan_paniscus,MYRIP,3,40166933,+,39715890,40163826,3107,Down,mvdpf,mvdp,ID=gene-MYRIP;Dbxref=GeneID:100983253;Name=MYRIP;gbkey=Gene;gene=MYRIP;gene_biotype=protein_coding
3962,Pan_paniscus,SACM1L,3,45582980,+,45596775,45652482,13795,Up,sc12r,sc12,ID=gene-SACM1L;Dbxref=GeneID:100978035;Name=SACM1L;gbkey=Gene;gene=SACM1L;gene_biotype=protein_coding
3972,Pan_paniscus,CCR3,3,46145437,+,46147928,46172947,2491,Up,psa1f,psa1,ID=gene-CCR3;Dbxref=GeneID:100971580;Name=CCR3;gbkey=Gene;gene=CCR3;gene_biotype=protein_coding
3982,Pan_paniscus,PTH1R,3,46773614,+,46777945,46804039,4331,Up,asrer,asre,ID=gene-PTH1R;Dbxref=GeneID:100993365;Name=PTH1R;gbkey=Gene;gene=PTH1R;gene_biotype=protein_coding
4172,Pan_paniscus,IP6K2,3,48600611,-,48638185,48608902,8291,Down,p21r,p21,ID=gene-IP6K2;Dbxref=GeneID:100976000;Name=IP6K2;gbkey=Gene;gene=IP6K2;gene_biotype=protein_coding
4332,Pan_paniscus,IP6K2,3,48658034,-,48638185,48608902,19849,Up,aare,aare,ID=gene-IP6K2;Dbxref=GeneID:100976000;Name=IP6K2;gbkey=Gene;gene=IP6K2;gene_biotype=protein_coding
4182,Pan_paniscus,PRKAR2A,3,48658034,-,48774111,48665421,7387,Down,aare,aare,ID=gene-PRKAR2A;Dbxref=GeneID:100975668;Name=PRKAR2A;gbkey=Gene;gene=PRKAR2A;gene_biotype=protein_coding
3992,Pan_paniscus,ALAS1,3,52124688,+,52140423,52156656,15735,Up,psa1f,psa1,ID=gene-ALAS1;Dbxref=GeneID:100987351;Name=ALAS1;gbkey=Gene;gene=ALAS1;gene_biotype=protein_coding
4272,Pan_paniscus,NISCH,3,52444782,+,52397576,52435127,9655,Down,psa1f,psa1,ID=gene-NISCH;Dbxref=GeneID:100992314;Name=NISCH;gbkey=Gene;gene=NISCH;gene_biotype=protein_coding
4002,Pan_paniscus,ITIH1,3,52707654,+,52719065,52733507,11411,Up,slp2f,slp2,ID=gene-ITIH1;Dbxref=GeneID:100979835;Name=ITIH1;gbkey=Gene;gene=ITIH1;gene_biotype=protein_coding
4342,Pan_paniscus,CHDH,3,53797305,-,53784437,53751179,12868,Up,asrer,asre,ID=gene-CHDH;Dbxref=GeneID:100974785;Name=CHDH;gbkey=Gene;gene=CHDH;gene_biotype=protein_coding
4192,Pan_paniscus,ACTR8,3,53797305,-,53820244,53802916,5611,Down,asrer,asre,ID=gene-ACTR8;Dbxref=GeneID:100973773;Name=ACTR8;gbkey=Gene;gene=ACTR8;gene_biotype=protein_coding
4282,Pan_paniscus,ATXN7,3,63908130,+,63766480,63906913,1217,Down,hk2f,hk2,ID=gene-ATXN7;Dbxref=GeneID:100970633;Name=ATXN7;gbkey=Gene;gene=ATXN7;gene_biotype=protein_coding
4202,Pan_paniscus,PSMD6,3,63908130,-,63925443,63912457,4327,Down,hk2f,hk2,ID=gene-PSMD6;Dbxref=GeneID:100978445;Name=PSMD6;gbkey=Gene;gene=PSMD6;gene_biotype=protein_coding
4213,Pan_paniscus,MAGI1,3,65254802,-,65932527,65257763,2961,Down,csref,csre,ID=gene-MAGI1;Dbxref=GeneID:100974840;Name=MAGI1;gbkey=Gene;gene=MAGI1;gene_biotype=protein_coding
4352,Pan_paniscus,LRIG1,3,66404031,-,66394056,66271849,9975,Up,care,care,ID=gene-LRIG1;Dbxref=GeneID:100969604;Name=LRIG1;gbkey=Gene;gene=LRIG1;gene_biotype=protein_coding
4362,Pan_paniscus,UBA3,3,69018827,-,69016377,68990760,2450,Up,slp2f,slp2,ID=gene-UBA3;Dbxref=GeneID:100970386;Name=UBA3;gbkey=Gene;gene=UBA3;gene_biotype=protein_coding
4013,Pan_paniscus,COL8A1,3,96708328,+,96732445,96892726,24117,Up,psa1f,psa1,ID=gene-COL8A1;Dbxref=GeneID:100979508;Name=COL8A1;gbkey=Gene;gene=COL8A1;gene_biotype=protein_coding
4022,Pan_paniscus,BBX,3,104653316,+,104655522,104943193,2206,Up,asrer,asre,ID=gene-BBX;Dbxref=GeneID:100986158;Name=BBX;gbkey=Gene;gene=BBX;gene_biotype=protein_coding
4372,Pan_paniscus,MORC1,3,106252766,-,106251790,106091990,976,Up,asref,asre,ID=gene-MORC1;Dbxref=GeneID:100991898;Name=MORC1;gbkey=Gene;gene=MORC1;gene_biotype=protein_coding
4032,Pan_paniscus,NECTIN3,3,108216957,+,108223380,108354079,6423,Up,c3r,c3,ID=gene-NECTIN3;Dbxref=GeneID:100995006;Name=NECTIN3;gbkey=Gene;gene=NECTIN3;gene_biotype=protein_coding
4382,Pan_paniscus,ATG3,3,109718207,-,109710835,109681163,7372,Up,psa3f,psa3,ID=gene-ATG3;Dbxref=GeneID:100974819;Name=ATG3;gbkey=Gene;gene=ATG3;gene_biotype=protein_coding
4042,Pan_paniscus,SLC35A5,3,109708472,+,109710151,109732678,1679,Up,mvdpr,mvdp,ID=gene-SLC35A5;Dbxref=GeneID:100975148;Name=SLC35A5;gbkey=Gene;gene=SLC35A5;gene_biotype=protein_coding
4392,Pan_paniscus,CCDC80,3,109805456,-,109789769,109753743,15687,Up,psa1f,psa1,ID=gene-CCDC80;Dbxref=GeneID:100972307;Name=CCDC80;gbkey=Gene;gene=CCDC80;gene_biotype=protein_coding
4402,Pan_paniscus,TMEM39A,3,116593762,-,116586260,116549308,7502,Up,csrer,csre,ID=gene-TMEM39A;Dbxref=GeneID:100995694;Name=TMEM39A;gbkey=Gene;gene=TMEM39A;gene_biotype=protein_coding
4052,Pan_paniscus,NR1I2,3,116900938,+,116901579,116940366,641,Up,hklkf,hklk,ID=gene-NR1I2;Dbxref=GeneID:100971952;Name=NR1I2;gbkey=Gene;gene=NR1I2;gene_biotype=protein_coding
4222,Pan_paniscus,HGD,3,117728613,-,117790096,117735772,7159,Down,pb2f,pb2,ID=gene-HGD;Dbxref=GeneID:100974603;Name=HGD;gbkey=Gene;gene=HGD;gene_biotype=protein_coding
4062,Pan_paniscus,FBXO40,3,118685973,+,118695215,118730183,9242,Up,pem2r,pem2,ID=gene-FBXO40;Dbxref=GeneID:100976842;Name=FBXO40;gbkey=Gene;gene=FBXO40;gene_biotype=protein_coding
4413,Pan_paniscus,ILDR1,3,119134178,-,119124831,119088855,9347,Up,slp2r,slp2,ID=gene-ILDR1;Dbxref=GeneID:100980694;Name=ILDR1;gbkey=Gene;gene=ILDR1;gene_biotype=protein_coding
4072,Pan_paniscus,CD86,3,119134178,+,119151884,119217641,17706,Up,slp2r,slp2,ID=gene-CD86;Dbxref=GeneID:100981251;Name=CD86;gbkey=Gene;gene=CD86;gene_biotype=protein_coding
4422,Pan_paniscus,PARP9,3,119659433,-,119655039,119617722,4394,Up,sc12f,sc12,ID=gene-PARP9;Dbxref=GeneID:100984374;Name=PARP9;gbkey=Gene;gene=PARP9;gene_biotype=protein_coding
4082,Pan_paniscus,PARP15,3,119659433,+,119665014,119730198,5581,Up,sc12f,sc12,ID=gene-PARP15;Dbxref=GeneID:100986274;Name=PARP15;gbkey=Gene;gene=PARP15;gene_biotype=protein_coding
4092,Pan_paniscus,PODXL2,3,124666281,+,124673860,124717469,7579,Up,slp3f,slp3,ID=gene-PODXL2;Dbxref=GeneID:100974213;Name=PODXL2;gbkey=Gene;gene=PODXL2;gene_biotype=protein_coding
4103,Pan_paniscus,UBA5,3,129710656,+,129732314,129752579,21658,Up,pem2r,pem2,ID=gene-UBA5;Dbxref=GeneID:100988056;Name=UBA5;gbkey=Gene;gene=UBA5;gene_biotype=protein_coding
4113,Pan_paniscus,TMEM108,3,130097924,+,130105824,130468122,7900,Up,sc12f,sc12,ID=gene-TMEM108;Dbxref=GeneID:100987030;Name=TMEM108;gbkey=Gene;gene=TMEM108;gene_biotype=protein_coding
4122,Pan_paniscus,BFSP2,3,130446375,+,130470362,130543610,23987,Up,mvdpr,mvdp,ID=gene-BFSP2;Dbxref=GeneID:100986693;Name=BFSP2;gbkey=Gene;gene=BFSP2;gene_biotype=protein_coding
4432,Pan_paniscus,RYK,3,131321458,-,131296815,131174507,24643,Up,sc12f,sc12,ID=gene-RYK;Dbxref=GeneID:100994658;Name=RYK;gbkey=Gene;gene=RYK;gene_biotype=protein_coding
4132,Pan_paniscus,SLC35G2,3,133843326,+,133861781,133897920,18455,Up,slp2r,slp2,ID=gene-SLC35G2;Dbxref=GeneID:100977721;Name=SLC35G2;gbkey=Gene;gene=SLC35G2;gene_biotype=protein_coding
4292,Pan_paniscus,CLDN18,3,135068347,+,135037555,135061105,7242,Down,ccnd1f,ccnd1,ID=gene-CLDN18;Dbxref=GeneID:100975921;Name=CLDN18;gbkey=Gene;gene=CLDN18;gene_biotype=protein_coding
4232,Pan_paniscus,COMMD2,3,146757439,-,146772046,146757967,528,Down,slp2r,slp2,ID=gene-COMMD2;Dbxref=GeneID:100987507;Name=COMMD2;gbkey=Gene;gene=COMMD2;gene_biotype=protein_coding
4442,Pan_paniscus,SIAH2,3,147805554,-,147781639,147759375,23915,Up,ccnd1f,ccnd1,ID=gene-SIAH2;Dbxref=GeneID:100973711;Name=SIAH2;gbkey=Gene;gene=SIAH2;gene_biotype=protein_coding
4452,Pan_paniscus,LXN,3,155707500,-,155698605,155692283,8895,Up,asrer,asre,ID=gene-LXN;Dbxref=GeneID:100982067;Name=LXN;gbkey=Gene;gene=LXN;gene_biotype=protein_coding
4462,Pan_paniscus,SLITRK3,3,162236988,-,162223830,162207530,13158,Up,care,care,ID=gene-SLITRK3;Dbxref=GeneID:100972717;Name=SLITRK3;gbkey=Gene;gene=SLITRK3;gene_biotype=protein_coding
4472,Pan_paniscus,DGKG,3,183394591,-,183392282,183164835,2309,Up,psa1f,psa1,ID=gene-DGKG;Dbxref=GeneID:100990657;Name=DGKG;gbkey=Gene;gene=DGKG;gene_biotype=protein_coding
4482,Pan_paniscus,DGKG,3,183399647,-,183392282,183164835,7365,Up,hk2r,hk2,ID=gene-DGKG;Dbxref=GeneID:100990657;Name=DGKG;gbkey=Gene;gene=DGKG;gene_biotype=protein_coding
4492,Pan_paniscus,CLDN1,3,187351517,-,187345360,187328629,6157,Up,pb2r,pb2,ID=gene-CLDN1;Dbxref=GeneID:100989749;Name=CLDN1;gbkey=Gene;gene=CLDN1;gene_biotype=protein_coding
4142,Pan_paniscus,SLC51A,3,193549935,+,193554592,193573984,4657,Up,hklkf,hklk,ID=gene-SLC51A;Dbxref=GeneID:100990978;Name=SLC51A;gbkey=Gene;gene=SLC51A;gene_biotype=protein_coding
4152,Pan_paniscus,NRROS,3,193969249,+,193984797,194007173,15548,Up,care,care,ID=gene-NRROS;Dbxref=GeneID:100989387;Name=NRROS;gbkey=Gene;gene=NRROS;gene_biotype=protein_coding
4692,Pan_paniscus,SLC2A9,4,4451303,-,4442387,4232737,8916,Up,aare,aare,ID=gene-SLC2A9;Dbxref=GeneID:100993664;Name=SLC2A9;gbkey=Gene;gene=SLC2A9;gene_biotype=protein_coding
4502,Pan_paniscus,CD38,4,10227605,+,10228803,10295129,1198,Up,psa1r,psa1,ID=gene-CD38;Dbxref=GeneID:100974952;Name=CD38;gbkey=Gene;gene=CD38;gene_biotype=protein_coding
4613,Pan_paniscus,TAPT1,4,10584145,-,10654951,10589166,5021,Down,psa3r,psa3,ID=gene-TAPT1;Dbxref=GeneID:100977078;Name=TAPT1;gbkey=Gene;gene=TAPT1;gene_biotype=protein_coding
4513,Pan_paniscus,PCDH7,4,25104682,+,25111142,25535925,6460,Up,pem1r,pem1,ID=gene-PCDH7;Dbxref=GeneID:100968199;Name=PCDH7;gbkey=Gene;gene=PCDH7;gene_biotype=protein_coding
4522,Pan_paniscus,TBC1D1,4,32206533,+,32217463,32466020,10930,Up,pem2r,pem2,ID=gene-TBC1D1;Dbxref=GeneID:100994615;Name=TBC1D1;gbkey=Gene;gene=TBC1D1;gene_biotype=protein_coding
4532,Pan_paniscus,WDFY3,4,39212554,+,39215474,39511870,2920,Up,psa1r,psa1,ID=gene-WDFY3;Dbxref=GeneID:100993109;Name=WDFY3;gbkey=Gene;gene=WDFY3;gene_biotype=protein_coding
4542,Pan_paniscus,PAQR3,4,45232006,+,45255403,45279319,23397,Up,asref,asre,ID=gene-PAQR3;Dbxref=GeneID:100982976;Name=PAQR3;gbkey=Gene;gene=PAQR3;gene_biotype=protein_coding
4702,Pan_paniscus,RUFY3,4,53529563,-,53516600,53415742,12963,Up,pem2f,pem2,ID=gene-RUFY3;Dbxref=GeneID:100991426;Name=RUFY3;gbkey=Gene;gene=RUFY3;gene_biotype=protein_coding
4713,Pan_paniscus,TMEM165,4,68560479,-,68541808,68484896,18671,Up,psa1f,psa1,ID=gene-TMEM165;Dbxref=GeneID:100973565;Name=TMEM165;gbkey=Gene;gene=TMEM165;gene_biotype=protein_coding
4622,Pan_paniscus,SRD5A3,4,68560479,-,68591400,68565400,4921,Down,psa1f,psa1,ID=gene-SRD5A3;Dbxref=GeneID:100987485;Name=SRD5A3;gbkey=Gene;gene=SRD5A3;gene_biotype=protein_coding
4552,Pan_paniscus,KDR,4,68791775,+,68813894,68861018,22119,Up,pem2f,pem2,ID=gene-KDR;Dbxref=GeneID:100986594;Name=KDR;gbkey=Gene;gene=KDR;gene_biotype=protein_coding
4662,Pan_paniscus,LNX1,4,70506422,+,70374106,70497058,9364,Down,psa3r,psa3,ID=gene-LNX1;Dbxref=GeneID:100983455;Name=LNX1;gbkey=Gene;gene=LNX1;gene_biotype=protein_coding
4562,Pan_paniscus,GABRA4,4,75163323,+,75163796,75240049,473,Up,hk2r,hk2,ID=gene-GABRA4;Dbxref=GeneID:100981073;Name=GABRA4;gbkey=Gene;gene=GABRA4;gene_biotype=protein_coding
4572,Pan_paniscus,GRID2,4,84645301,+,84663030,86170778,17729,Up,psa1r,psa1,ID=gene-GRID2;Dbxref=GeneID:100988673;Name=GRID2;gbkey=Gene;gene=GRID2;gene_biotype=protein_coding
4672,Pan_paniscus,RAP1GDS1,4,90852233,+,90671891,90846501,5732,Down,asrer,asre,ID=gene-RAP1GDS1;Dbxref=GeneID:100995499;Name=RAP1GDS1;gbkey=Gene;gene=RAP1GDS1;gene_biotype=protein_coding
4722,Pan_paniscus,TSPAN5,4,91070245,-,91052345,90872988,17900,Up,hk2r,hk2,ID=gene-TSPAN5;Dbxref=GeneID:100967296;Name=TSPAN5;gbkey=Gene;gene=TSPAN5;gene_biotype=protein_coding
4682,Pan_paniscus,BANK1,4,94510944,+,94216751,94507965,2979,Down,care,care,ID=gene-BANK1;Dbxref=GeneID:100977777;Name=BANK1;gbkey=Gene;gene=BANK1;gene_biotype=protein_coding
4632,Pan_paniscus,NUDT6,4,115066626,-,115100841,115070782,4156,Down,mvdpr,mvdp,ID=gene-NUDT6;Dbxref=GeneID:100983196;Name=NUDT6;gbkey=Gene;gene=NUDT6;gene_biotype=protein_coding
4732,Pan_paniscus,ANKRD50,4,116899249,-,116889221,116841161,10028,Up,c3f,c3,ID=gene-ANKRD50;Dbxref=GeneID:100981416;Name=ANKRD50;gbkey=Gene;gene=ANKRD50;gene_biotype=protein_coding
4582,Pan_paniscus,ABCE1,4,137440028,+,137445210,137476309,5182,Up,slp3f,slp3,ID=gene-ABCE1;Dbxref=GeneID:100990493;Name=ABCE1;gbkey=Gene;gene=ABCE1;gene_biotype=protein_coding
4642,Pan_paniscus,SH3D19,4,143455065,-,143664796,143460618,5553,Down,pem1f,pem1,ID=gene-SH3D19;Dbxref=GeneID:100974988;Name=SH3D19;gbkey=Gene;gene=SH3D19;gene_biotype=protein_coding
4592,Pan_paniscus,KLHL2,4,157387880,+,157402905,157518639,15025,Up,slp3r,slp3,ID=gene-KLHL2;Dbxref=GeneID:100987928;Name=KLHL2;gbkey=Gene;gene=KLHL2;gene_biotype=protein_coding
4602,Pan_paniscus,CPE,4,157574749,+,157575157,157705173,408,Up,psa1r,psa1,ID=gene-CPE;Dbxref=GeneID:100983801;Name=CPE;gbkey=Gene;gene=CPE;gene_biotype=protein_coding
4652,Pan_paniscus,FBXO8,4,166458943,-,166509875,166462626,3683,Down,slp2f,slp2,ID=gene-FBXO8;Dbxref=GeneID:100986700;Name=FBXO8;gbkey=Gene;gene=FBXO8;gene_biotype=protein_coding
4742,Pan_paniscus,SPATA4,4,168380171,-,168378630,168366918,1541,Up,pem2f,pem2,ID=gene-SPATA4;Dbxref=GeneID:100989631;Name=SPATA4;gbkey=Gene;gene=SPATA4;gene_biotype=protein_coding
4752,Pan_paniscus,DCTD,4,175129854,-,175106756,175079416,23098,Up,slp3f,slp3,ID=gene-DCTD;Dbxref=GeneID:100996131;Name=DCTD;gbkey=Gene;gene=DCTD;gene_biotype=protein_coding
5013,Pan_paniscus,TERT,5,1591537,-,1586775,1542217,4762,Up,aare,aare,ID=gene-TERT;Dbxref=GeneID:100993498;Name=TERT;gbkey=Gene;gene=TERT;gene_biotype=protein_coding
5022,Pan_paniscus,MRPL36,5,2154082,-,2132142,2129176,21940,Up,slp2f,slp2,ID=gene-MRPL36;Dbxref=GeneID:100985709;Name=MRPL36;gbkey=Gene;gene=MRPL36;gene_biotype=protein_coding
4942,Pan_paniscus,NDUFS6,5,2154082,+,2132177,2147226,6856,Down,slp2f,slp2,ID=gene-NDUFS6;Dbxref=GeneID:100985357;Name=NDUFS6;gbkey=Gene;gene=NDUFS6;gene_biotype=protein_coding
4952,Pan_paniscus,SRD5A1,5,7004724,+,6953795,6996010,8714,Down,p21r,p21,ID=gene-SRD5A1;Dbxref=GeneID:100978730;Name=SRD5A1;gbkey=Gene;gene=SRD5A1;gene_biotype=protein_coding
4962,Pan_paniscus,ELL2,5,19466999,+,19387443,19464150,2849,Down,sc12r,sc12,ID=gene-ELL2;Dbxref=GeneID:100989162;Name=ELL2;gbkey=Gene;gene=ELL2;gene_biotype=protein_coding
4972,Pan_paniscus,ELL2,5,19467028,+,19387443,19464150,2878,Down,sc12f,sc12,ID=gene-ELL2;Dbxref=GeneID:100989162;Name=ELL2;gbkey=Gene;gene=ELL2;gene_biotype=protein_coding
4762,Pan_paniscus,SPATA9,5,19650092,+,19665823,19692040,15731,Up,hk2r,hk2,ID=gene-SPATA9;Dbxref=GeneID:100992446;Name=SPATA9;gbkey=Gene;gene=SPATA9;gene_biotype=protein_coding
4852,Pan_paniscus,ATG10,5,33027337,-,33315496,33029074,1737,Down,mvdpr,mvdp,ID=gene-ATG10;Dbxref=GeneID:100967589;Name=ATG10;gbkey=Gene;gene=ATG10;gene_biotype=protein_coding
5032,Pan_paniscus,MSH3,5,34684503,-,34663483,34408469,21020,Up,hk2r,hk2,ID=gene-MSH3;Dbxref=GeneID:100972976;Name=MSH3;gbkey=Gene;gene=MSH3;gene_biotype=protein_coding
4862,Pan_paniscus,IQGAP2,5,38588207,-,38900327,38593574,5367,Down,csrer,csre,ID=gene-IQGAP2;Dbxref=GeneID:100974171;Name=IQGAP2;gbkey=Gene;gene=IQGAP2;gene_biotype=protein_coding
4872,Pan_paniscus,IQGAP2,5,38591615,-,38900327,38593574,1959,Down,psa1f,psa1,ID=gene-IQGAP2;Dbxref=GeneID:100974171;Name=IQGAP2;gbkey=Gene;gene=IQGAP2;gene_biotype=protein_coding
5042,Pan_paniscus,TMEM174,5,42153353,-,42140805,42138978,12548,Up,slp2f,slp2,ID=gene-TMEM174;Dbxref=GeneID:100969110;Name=TMEM174;gbkey=Gene;gene=TMEM174;gene_biotype=protein_coding
5052,Pan_paniscus,FCHO2,5,42367631,-,42361317,42223201,6314,Up,csrer,csre,ID=gene-FCHO2;Dbxref=GeneID:100979203;Name=FCHO2;gbkey=Gene;gene=FCHO2;gene_biotype=protein_coding
4982,Pan_paniscus,ZNF366,5,42878075,+,42805429,42873109,4966,Down,asref,asre,ID=gene-ZNF366;Dbxref=GeneID:100971636;Name=ZNF366;gbkey=Gene;gene=ZNF366;gene_biotype=protein_coding
4992,Pan_paniscus,MRPS27,5,43101742,+,42992341,43092816,8926,Down,pem2r,pem2,ID=gene-MRPS27;Dbxref=GeneID:100971969;Name=MRPS27;gbkey=Gene;gene=MRPS27;gene_biotype=protein_coding
